id,fluency,grammar,semantics,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
347,2.333333333333333,2.6666666666666665,2.6666666666666665,-2.04302191734314,-1.9947105646133425,"[0.7799397706985474, 0.776423454284668, 0.805584192276001]","[0.7976369857788086, 0.782295823097229, 0.8030734062194824]","[0.788689136505127, 0.779348611831665, 0.8043268322944641]","[0.8421052631578947, 0.7894736842105263, 0.8947368421052632]","[0.6153846153846154, 0.5769230769230769, 0.6538461538461539]","[0.7111111062320988, 0.6666666617876543, 0.7555555506765433]","[0.36363636363636365, 0.36363636363636365, 0.6363636363636364]","[0.25806451612903225, 0.25806451612903225, 0.4375]","[0.30188678759700965, 0.30188678759700965, 0.5185185136899864]","[0.5789473684210527, 0.6842105263157895, 0.8947368421052632]","[0.4230769230769231, 0.5, 0.6538461538461539]","[0.4888888840098766, 0.5777777728987655, 0.7555555506765433]","[0.43221153846153854, 0.4095298833819242, 0.5209161931818181]","[1.0423153399406431e-231, 9.418382295637229e-232, 9.418382295637229e-232]","[0.5070044365702391, 0.4973619396221888, 0.5134749665334806]",0.8931641968688386,0.988537239970171,0.8553337392424525,0.44381147332606824,0.7625608175128972
348,2.6666666666666665,3.0,3.0,-1.866660475730896,-1.733517050743103,"[0.8070542216300964, 0.7870157957077026, 0.8178973197937012]","[0.8481724858283997, 0.8278316855430603, 0.8287374377250671]","[0.8271026611328125, 0.8069079518318176, 0.8232816457748413]","[0.9523809523809523, 0.8571428571428571, 0.8095238095238095]","[0.7692307692307693, 0.6923076923076923, 0.6538461538461539]","[0.8510638248438207, 0.7659574418650975, 0.7234042503757356]","[0.68, 0.56, 0.56]","[0.5483870967741935, 0.45161290322580644, 0.4375]","[0.6071428522002551, 0.49999999505739806, 0.49122806525084645]","[0.9047619047619048, 0.7142857142857143, 0.7619047619047619]","[0.7307692307692307, 0.5769230769230769, 0.6153846153846154]","[0.808510633354459, 0.6382978673970123, 0.680851058886374]","[0.6131753613299422, 0.49491266247132853, 0.566670488420087]","[1.0080942617254966e-231, 9.109159947227211e-232, 9.109159947227211e-232]","[0.6476026704865808, 0.5637660109889624, 0.587638006628157]",0.9111863415015744,0.9896534805893454,0.8436015095141508,0.4168497469948352,0.7500349123661105
349,1.5,3.0,3.0,-1.5008645057678225,-1.8698654174804688,"[0.7310186624526978, 0.7330077886581421, 0.781493067741394]","[0.8077962398529053, 0.8016325235366821, 0.8524973392486572]","[0.7674920558929443, 0.7657857537269592, 0.815452516078949]","[0.7391304347826086, 0.6956521739130435, 0.782608695652174]","[0.6538461538461539, 0.6153846153846154, 0.6923076923076923]","[0.6938775460391503, 0.6530612195085381, 0.7346938725697626]","[0.4666666666666667, 0.4, 0.5333333333333333]","[0.45161290322580644, 0.3870967741935484, 0.5]","[0.45901638844396675, 0.39344261795216345, 0.5161290272632676]","[0.5217391304347826, 0.6956521739130435, 0.6956521739130435]","[0.46153846153846156, 0.6153846153846154, 0.6153846153846154]","[0.4897959133860892, 0.6530612195085381, 0.6530612195085381]","[0.49486803519061584, 0.40695175212352547, 0.5993157721706254]","[1.0577612560403046e-231, 9.309480961664223e-232, 8.412065649527267e-232]","[0.3945962509549996, 0.38707106026272897, 0.46658764936989094]",0.9366112522903576,0.9927297030857375,0.985617474924721,0.686897877940022,0.8884150186501601
351,3.0,3.0,3.0,-1.9944945573806765,-1.4066710472106934,"[0.9339099526405334, 0.8251948356628418]","[0.9156655073165894, 0.8431744575500488]","[0.924697756767273, 0.8340877294540405]","[0.9230769230769231, 0.6153846153846154]","[0.6666666666666666, 0.5333333333333333]","[0.7741935435171696, 0.5714285664540818]","[0.75, 0.5]","[0.45, 0.375]","[0.5624999953125002, 0.4285714236734694]","[0.9230769230769231, 0.6153846153846154]","[0.6666666666666666, 0.5333333333333333]","[0.7741935435171696, 0.5714285664540818]","[0.5830635257340628, 0.5018939393939396]","[1.1200407237786664e-231, 1.1200407237786664e-231]","[0.9207877312517481, 0.6833069117230581]",0.9326091038151844,0.9839271199104249,0.9837054501010866,0.06223006154636045,0.6766208771859573
352,2.333333333333333,2.333333333333333,3.0,-1.9944945573806765,-1.4066710472106934,"[0.9339099526405334, 0.8251948356628418]","[0.9156655073165894, 0.8431744575500488]","[0.924697756767273, 0.8340877294540405]","[0.9230769230769231, 0.6153846153846154]","[0.6666666666666666, 0.5333333333333333]","[0.7741935435171696, 0.5714285664540818]","[0.75, 0.5]","[0.45, 0.375]","[0.5624999953125002, 0.4285714236734694]","[0.9230769230769231, 0.6153846153846154]","[0.6666666666666666, 0.5333333333333333]","[0.7741935435171696, 0.5714285664540818]","[0.5830635257340628, 0.5018939393939396]","[1.1200407237786664e-231, 1.1200407237786664e-231]","[0.9207877312517481, 0.6833069117230581]",0.9326091038151844,0.9839271199104249,0.9837054501010866,0.06223006154636045,0.6766208771859573
353,3.0,3.0,3.0,-1.9944945573806765,-1.4066704511642456,"[0.9339099526405334, 0.8251948356628418]","[0.9156655073165894, 0.8431744575500488]","[0.924697756767273, 0.8340877294540405]","[0.9230769230769231, 0.6153846153846154]","[0.6666666666666666, 0.5333333333333333]","[0.7741935435171696, 0.5714285664540818]","[0.75, 0.5]","[0.45, 0.375]","[0.5624999953125002, 0.4285714236734694]","[0.9230769230769231, 0.6153846153846154]","[0.6666666666666666, 0.5333333333333333]","[0.7741935435171696, 0.5714285664540818]","[0.5830635257340628, 0.5018939393939396]","[1.1200407237786664e-231, 1.1200407237786664e-231]","[0.9207877312517481, 0.6833069117230581]",0.9326091038151844,0.9839271199104249,0.9837054501010866,0.06223006154636045,0.6766208771859573
354,2.333333333333333,2.333333333333333,3.0,-2.3373968601226807,-1.6111845970153809,"[0.8628237843513489, 0.8574170470237732]","[0.8507093191146851, 0.8728071451187134]","[0.8567237257957458, 0.8650436997413635]","[0.9166666666666666, 0.6666666666666666]","[0.6111111111111112, 0.5333333333333333]","[0.7333333285333336, 0.592592587654321]","[0.5833333333333334, 0.5]","[0.35, 0.375]","[0.4374999953125, 0.4285714236734694]","[0.6666666666666666, 0.6666666666666666]","[0.4444444444444444, 0.5333333333333333]","[0.5333333285333334, 0.592592587654321]","[0.5306603773584906, 0.508557800224467]","[1.2395288183339461e-231, 1.1200407237786664e-231]","[0.7758110843612682, 0.7315866256669468]",0.9043446347331484,0.9852243620507498,0.9855561125997225,0.0163117246747637,0.6623640664417453
355,2.333333333333333,2.0,3.0,-1.9691296815872192,-1.5817384719848633,"[0.8807458281517029, 0.7928560972213745]","[0.8769698739051819, 0.824150800704956]","[0.8788537979125977, 0.8082005977630615]","[0.7692307692307693, 0.5384615384615384]","[0.5555555555555556, 0.4666666666666667]","[0.6451612854526535, 0.4999999950255103]","[0.46153846153846156, 0.38461538461538464]","[0.3, 0.3125]","[0.36363635886134077, 0.34482758126040436]","[0.7692307692307693, 0.5384615384615384]","[0.5555555555555556, 0.4666666666666667]","[0.6451612854526535, 0.4999999950255103]","[0.49218174058122843, 0.4400600282485876]","[1.1008876702055895e-231, 1.1008876702055895e-231]","[0.8601477321040545, 0.6244414093692497]",0.8923772153141262,0.9818112189408406,0.9806599699270725,0.034212836082832224,0.6655613416502485
356,2.0,1.6666666666666667,1.0,-2.764317989349365,-2.245877981185913,"[0.7521554231643677, 0.7737996578216553]","[0.7262935638427734, 0.7679685354232788]","[0.738998293876648, 0.7708730697631836]","[0.8181818181818182, 0.7272727272727273]","[0.5, 0.5333333333333333]","[0.6206896504637337, 0.6153846105029586]","[0.6, 0.6]","[0.3, 0.375]","[0.3999999955555556, 0.4615384568047337]","[0.6363636363636364, 0.7272727272727273]","[0.3888888888888889, 0.5333333333333333]","[0.4827586159809751, 0.6153846105029586]","[0.44642857142857145, 0.5076628352490421]","[1.1640469867513693e-231, 1.1640469867513693e-231]","[0.6097459358286093, 0.6692855679787193]",0.8319055843636382,0.9640363045049489,0.9678466088410543,0.0004825175759568717,0.64412181030732
357,1.6666666666666667,2.333333333333333,3.0,-2.280369997024536,-1.8492014408111568,"[0.8820656538009644, 0.8270484209060669]","[0.8885905742645264, 0.8592818975448608]","[0.8853161334991455, 0.8428570628166199]","[0.7857142857142857, 0.6428571428571429]","[0.6111111111111112, 0.6]","[0.6874999950781251, 0.6206896501783592]","[0.6153846153846154, 0.46153846153846156]","[0.4, 0.375]","[0.48484848007346204, 0.4137930985017836]","[0.7857142857142857, 0.5714285714285714]","[0.6111111111111112, 0.5333333333333333]","[0.6874999950781251, 0.5517241329369797]","[0.5404659916926271, 0.5438202247191011]","[1.0832677820940877e-231, 1.0832677820940877e-231]","[0.872056743849414, 0.6526670704503978]",0.9402313050686162,0.9451777501279048,0.960279013832938,0.5417393090164849,0.8157320243257759
358,3.0,2.6666666666666665,3.0,-2.261769294738769,-1.7708789110183716,"[0.8389153480529785, 0.8218777179718018]","[0.8570514917373657, 0.8687177896499634]","[0.8478864431381226, 0.8446488380432129]","[0.8, 0.5333333333333333]","[0.6666666666666666, 0.5333333333333333]","[0.7272727223140496, 0.5333333283333335]","[0.5, 0.375]","[0.4, 0.375]","[0.4444444395061729, 0.37499999500000003]","[0.6, 0.5333333333333333]","[0.5, 0.5333333333333333]","[0.5454545404958678, 0.5333333283333335]","[0.5317225509533201, 0.4780521262002744]","[1.1640469867513693e-231, 1.0518351895246305e-231]","[0.776346029508628, 0.5953158709010744]",0.932921092353854,0.9904964703938993,0.9902576692120805,0.04942723925436914,0.676727126286783
359,2.333333333333333,2.333333333333333,3.0,-2.250880718231201,-1.871489644050598,"[0.9128082394599915, 0.8134547472000122]","[0.919975757598877, 0.8478248119354248]","[0.9163780212402344, 0.8302842378616333]","[0.8, 0.5333333333333333]","[0.6666666666666666, 0.5333333333333333]","[0.7272727223140496, 0.5333333283333335]","[0.5, 0.3125]","[0.4, 0.3125]","[0.4444444395061729, 0.31249999500000003]","[0.8, 0.5333333333333333]","[0.6666666666666666, 0.5333333333333333]","[0.7272727223140496, 0.5333333283333335]","[0.5019997808459347, 0.3823731138545953]","[1.0518351895246305e-231, 1.0518351895246305e-231]","[0.841149599526277, 0.5630952833810403]",0.8767697750477341,0.9740147666218205,0.9745196641984945,0.04566587083384397,0.6647334338847196
360,3.0,3.0,3.0,-2.0352120399475098,-1.532381534576416,"[0.8742215037345886, 0.9577553272247314]","[0.8741788864135742, 0.9324504733085632]","[0.874200165271759, 0.9449335336685181]","[0.9166666666666666, 0.9166666666666666]","[0.6875, 0.6470588235294118]","[0.7857142808163265, 0.7586206848038051]","[0.46153846153846156, 0.8461538461538461]","[0.3333333333333333, 0.55]","[0.38709676932362125, 0.6666666618916438]","[0.75, 0.9166666666666666]","[0.5625, 0.6470588235294118]","[0.6428571379591838, 0.7586206848038051]","[0.5149446214534973, 0.6540433074638307]","[1.1008876702055895e-231, 1.1008876702055895e-231]","[0.8356165037248856, 0.989134701360552]",0.894009201825344,0.9868623185315212,0.9866033636844784,0.512941257254931,0.8288023131569769
361,2.6666666666666665,2.6666666666666665,3.0,-2.011047601699829,-1.5294283628463743,"[0.9155335426330566, 0.9239155054092407]","[0.8901056051254272, 0.8767303824424744]","[0.9026405215263367, 0.8997047543525696]","[0.9090909090909091, 0.9090909090909091]","[0.625, 0.5882352941176471]","[0.7407407359122085, 0.7142857095153062]","[0.9090909090909091, 0.5454545454545454]","[0.5555555555555556, 0.3]","[0.6896551677051131, 0.38709676961498435]","[0.9090909090909091, 0.8181818181818182]","[0.625, 0.5294117647058824]","[0.7407407359122085, 0.6428571380867347]","[0.6203223949337939, 0.448755924170616]","[1.1409851298103347e-231, 1.1409851298103347e-231]","[0.9084889822456464, 0.8254387414769288]",0.9240656392486696,0.9830301694318719,0.9828279600294102,0.6938376361790604,0.8865652552134474
362,3.0,2.333333333333333,3.0,-2.011047601699829,-1.5294283628463743,"[0.9155335426330566, 0.9239155054092407]","[0.8901056051254272, 0.8767303824424744]","[0.9026405215263367, 0.8997047543525696]","[0.9090909090909091, 0.9090909090909091]","[0.625, 0.5882352941176471]","[0.7407407359122085, 0.7142857095153062]","[0.9090909090909091, 0.5454545454545454]","[0.5555555555555556, 0.3]","[0.6896551677051131, 0.38709676961498435]","[0.9090909090909091, 0.8181818181818182]","[0.625, 0.5294117647058824]","[0.7407407359122085, 0.6428571380867347]","[0.6203223949337939, 0.448755924170616]","[1.1409851298103347e-231, 1.1409851298103347e-231]","[0.9084889822456464, 0.8254387414769288]",0.9240656392486696,0.9830301694318719,0.9828279600294102,0.6938376361790604,0.8865652552134474
363,2.6666666666666665,3.0,3.0,-2.631156206130981,-1.617322564125061,"[0.7934142351150513, 0.8051047921180725]","[0.7829297780990601, 0.7803609371185303]","[0.7881371378898621, 0.7925398349761963]","[0.8, 0.9]","[0.5, 0.5294117647058824]","[0.6153846106508877, 0.6666666620027436]","[0.5454545454545454, 0.45454545454545453]","[0.3333333333333333, 0.25]","[0.41379309873959574, 0.32258064058272634]","[0.6, 0.6]","[0.375, 0.35294117647058826]","[0.4615384568047337, 0.4444444397805213]","[0.5015544041450778, 0.37855939837844177]","[1.1409851298103347e-231, 1.2627076138080564e-231]","[0.7471901752211494, 0.6842305474701486]",0.9038911995542755,0.9865497818377441,0.985847892764599,0.009121857159280275,0.6605065105872079
364,2.333333333333333,2.0,3.0,-1.8371721506118768,-1.291917085647583,"[0.8943783044815063, 0.9137335419654846]","[0.8841193318367004, 0.8794910311698914]","[0.8892192244529724, 0.896285355091095]","[0.9, 0.9]","[0.5625, 0.5294117647058824]","[0.6923076875739645, 0.6666666620027436]","[0.5, 0.6666666666666666]","[0.3333333333333333, 0.4]","[0.39999999520000007, 0.49999999531250006]","[0.9, 0.9]","[0.5625, 0.5294117647058824]","[0.6923076875739645, 0.6666666620027436]","[0.45795348044645134, 0.5306603773584906]","[1.1200407237786664e-231, 1.1200407237786664e-231]","[0.8750359314857116, 0.8535699172701665]",0.8468584644839181,0.9816770845581242,0.9806478837882134,0.44643972961156325,0.802921565985967
365,1.6666666666666667,2.6666666666666665,1.6666666666666667,-3.088348865509033,-2.758026361465454,"[0.7270621061325073, 0.7387584447860718]","[0.7056199312210083, 0.6951016187667847]","[0.7161805629730225, 0.7162654399871826]","[0.7777777777777778, 0.7777777777777778]","[0.4375, 0.4117647058823529]","[0.5599999953920002, 0.5384615339349113]","[0.5555555555555556, 0.4444444444444444]","[0.2777777777777778, 0.2]","[0.370370365925926, 0.275862064684899]","[0.5555555555555556, 0.5555555555555556]","[0.3125, 0.29411764705882354]","[0.399999995392, 0.3846153800887574]","[0.45052032835627953, 0.27940220922677067]","[1.1896457329133973e-231, 1.1896457329133973e-231]","[0.5547368113154292, 0.509239904349501]",0.7921090361525769,0.7962797597449641,0.7525091580981126,0.0006172862513292046,0.5164687346981353
366,3.0,3.0,3.0,-2.0352120399475098,-1.5323823690414429,"[0.8742215037345886, 0.9577553272247314]","[0.8741788864135742, 0.9324504733085632]","[0.874200165271759, 0.9449335336685181]","[0.9166666666666666, 0.9166666666666666]","[0.6875, 0.6470588235294118]","[0.7857142808163265, 0.7586206848038051]","[0.46153846153846156, 0.8461538461538461]","[0.3333333333333333, 0.55]","[0.38709676932362125, 0.6666666618916438]","[0.75, 0.9166666666666666]","[0.5625, 0.6470588235294118]","[0.6428571379591838, 0.7586206848038051]","[0.5149446214534973, 0.6540433074638307]","[1.1008876702055895e-231, 1.1008876702055895e-231]","[0.8356165037248856, 0.989134701360552]",0.8940090163417991,0.9868623001497092,0.9866033756294985,0.5129413153186608,0.8288023303659561
367,2.333333333333333,3.0,3.0,-2.57847261428833,-2.208212852478028,"[0.798898458480835, 0.7835528254508972]","[0.8177614212036133, 0.7839099168777466]","[0.8082199096679688, 0.7837313413619995]","[0.7142857142857143, 0.7857142857142857]","[0.625, 0.6470588235294118]","[0.6666666616888889, 0.709677414401665]","[0.4666666666666667, 0.4]","[0.3888888888888889, 0.3]","[0.42424241928374656, 0.3428571379591837]","[0.5, 0.5]","[0.4375, 0.4117647058823529]","[0.46666666168888893, 0.4516128982726327]","[0.5871051889452904, 0.46704279620200906]","[1.0669733992029681e-231, 1.1808001696991507e-231]","[0.7935371137593543, 0.7135884641913208]",0.919491333468284,0.9901948509915894,0.9901444917628108,0.002677257560601251,0.6610055334383339
368,2.6666666666666665,2.6666666666666665,2.333333333333333,-2.718071222305298,-2.688894271850586,"[0.8835377097129822, 0.8834310173988342]","[0.8942193984985352, 0.8829308152198792]","[0.8888464570045471, 0.8831808567047119]","[0.7142857142857143, 0.7142857142857143]","[0.625, 0.5882352941176471]","[0.6666666616888889, 0.645161285369407]","[0.6, 0.4]","[0.5, 0.3]","[0.5454545404958678, 0.3428571379591837]","[0.7142857142857143, 0.6428571428571429]","[0.625, 0.5294117647058824]","[0.6666666616888889, 0.5806451563371489]","[0.5978567399887197, 0.44040697674418594]","[1.0669733992029681e-231, 1.0669733992029681e-231]","[0.7689720586547945, 0.759925197715925]",0.3763858248758825,0.8986202834804056,0.9059965032186674,0.7807998982394583,0.861805561646177
369,2.6666666666666665,2.6666666666666665,3.0,-1.812636137008667,-1.8524013757705688,"[0.8406023979187012, 0.8719415664672852, 0.8494524955749512]","[0.8196073770523071, 0.8811080455780029, 0.8470922708511353]","[0.8299721479415894, 0.8765008449554443, 0.8482707142829895]","[0.782608695652174, 0.7391304347826086, 0.6956521739130435]","[0.5806451612903226, 0.6538461538461539, 0.5925925925925926]","[0.6666666617764061, 0.6938775460391503, 0.639999995032]","[0.4074074074074074, 0.37037037037037035, 0.37037037037037035]","[0.2972972972972973, 0.3448275862068966, 0.3225806451612903]","[0.3437499951220704, 0.35714285214923475, 0.34482758123067775]","[0.6086956521739131, 0.6086956521739131, 0.5217391304347826]","[0.45161290322580644, 0.5384615384615384, 0.4444444444444444]","[0.518518513628258, 0.5714285664473138, 0.47999999503199997]","[0.49173636049975455, 0.5914826498422714, 0.4763302600570554]","[1.0332112772921225e-231, 1.0332112772921225e-231, 1.0332112772921225e-231]","[0.6383897501743396, 0.7107967633534754, 0.69063508610282]",0.8265046183565711,0.9540220394455629,0.9560104150043214,0.9069272386364378,0.9389865643621073
370,3.0,3.0,2.333333333333333,-1.5656111240386963,-1.3176701068878174,"[0.8700684905052185, 0.9428876042366028, 0.8670834302902222]","[0.7839826941490173, 0.9071226119995117, 0.8115105032920837]","[0.8247854113578796, 0.9246594309806824, 0.838377058506012]","[0.8333333333333334, 0.9444444444444444, 0.8333333333333334]","[0.4838709677419355, 0.6538461538461539, 0.5555555555555556]","[0.6122448933111204, 0.7727272678925621, 0.6666666618666668]","[0.5, 0.85, 0.55]","[0.2702702702702703, 0.5862068965517241, 0.3548387096774194]","[0.35087718842720844, 0.6938775461890879, 0.4313725442522107]","[0.6666666666666666, 0.9444444444444444, 0.7222222222222222]","[0.3870967741935484, 0.6538461538461539, 0.48148148148148145]","[0.4897959137192837, 0.7727272678925621, 0.5777777729777778]","[0.4335939477662136, 0.6742568410000656, 0.512917933130699]","[1.0948551819675659e-231, 1.0948551819675659e-231, 1.0948551819675659e-231]","[0.5824791514472741, 0.8092630344134566, 0.6568526396635077]",0.7704488407326832,0.9605007148679522,0.9602397085558169,0.2253098783167235,0.7153501005801641
371,2.0,3.0,3.0,-1.9884852170944207,-1.6568124294281006,"[0.900335431098938, 0.8540928959846497, 0.9281919598579407]","[0.8647919297218323, 0.8608013987541199, 0.919173538684845]","[0.8822058439254761, 0.8574339747428894, 0.9236607551574707]","[0.8571428571428571, 0.8095238095238095, 0.8571428571428571]","[0.5806451612903226, 0.6538461538461539, 0.6666666666666666]","[0.6923076874926036, 0.7234042503757356, 0.7499999950781251]","[0.5416666666666666, 0.375, 0.625]","[0.35135135135135137, 0.3103448275862069, 0.4838709677419355]","[0.42622950342381083, 0.3396226365539339, 0.5454545405355373]","[0.8095238095238095, 0.5714285714285714, 0.8571428571428571]","[0.5483870967741935, 0.46153846153846156, 0.6666666666666666]","[0.6538461490310651, 0.5106382929289273, 0.7499999950781251]","[0.582901554404145, 0.5288741464791714, 0.646719107836304]","[1.0618063059647207e-231, 1.0618063059647207e-231, 1.0618063059647207e-231]","[0.680147647112828, 0.730209088164584, 0.8440647829605875]",0.857299882100995,0.9646345923632316,0.9687013712921454,0.5580558414209249,0.8304639350254339
372,3.0,3.0,2.5,-1.834821343421936,-1.5804047584533691,"[0.8599420785903931, 0.9270893335342407, 0.8772976994514465]","[0.7757115364074707, 0.8898743391036987, 0.8195226788520813]","[0.8156580328941345, 0.9081007242202759, 0.8474265933036804]","[0.8333333333333334, 0.9444444444444444, 0.8888888888888888]","[0.4838709677419355, 0.6538461538461539, 0.5925925925925926]","[0.6122448933111204, 0.7727272678925621, 0.7111111063111111]","[0.5789473684210527, 0.6842105263157895, 0.6842105263157895]","[0.2972972972972973, 0.4482758620689655, 0.41935483870967744]","[0.39285713837372455, 0.5416666618836805, 0.5199999952880001]","[0.7777777777777778, 0.8888888888888888, 0.7777777777777778]","[0.45161290322580644, 0.6153846153846154, 0.5185185185185185]","[0.5714285667805082, 0.7272727224380167, 0.6222222174222223]","[0.4503020917399175, 0.6052048875382119, 0.5501622235211399]","[1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231]","[0.5548094265928355, 0.7504411153246366, 0.6719766608397819]",0.832770758304722,0.9577904817116119,0.9588884865553544,0.27710355743514276,0.7312608419007031
373,2.0,2.333333333333333,2.333333333333333,-2.2818708419799805,-2.0669565200805664,"[0.795657753944397, 0.7731518149375916, 0.7712869644165039]","[0.786784291267395, 0.789821982383728, 0.7705391645431519]","[0.7911961078643799, 0.7813980579376221, 0.7709128856658936]","[0.8260869565217391, 0.782608695652174, 0.782608695652174]","[0.6129032258064516, 0.6923076923076923, 0.6666666666666666]","[0.7037036988134432, 0.7346938725697626, 0.7199999950320001]","[0.4583333333333333, 0.5, 0.4166666666666667]","[0.2972972972972973, 0.41379310344827586, 0.3225806451612903]","[0.36065573293200753, 0.45283018372374517, 0.3636363587173554]","[0.6956521739130435, 0.6086956521739131, 0.7391304347826086]","[0.5161290322580645, 0.5384615384615384, 0.6296296296296297]","[0.592592587702332, 0.5714285664473138, 0.679999995032]","[0.5010521775119645, 0.5573080967402735, 0.503731343283582]","[1.1102577717991281e-231, 1.1102577717991281e-231, 1.1102577717991281e-231]","[0.5483979176521743, 0.5560685336542095, 0.5649336438250683]",0.7223129055396885,0.9745882121507311,0.972375877490745,0.6115189666224498,0.8528276854213086
374,1.6666666666666667,2.333333333333333,2.333333333333333,-2.223355770111084,-1.972062110900879,"[0.810188889503479, 0.8198967576026917, 0.8198316097259521]","[0.7724137306213379, 0.8164255023002625, 0.8058449029922485]","[0.7908504605293274, 0.818157434463501, 0.8127780556678772]","[0.8421052631578947, 0.7894736842105263, 0.8421052631578947]","[0.5161290322580645, 0.5769230769230769, 0.5925925925925926]","[0.639999995288, 0.6666666617876543, 0.6956521690642723]","[0.3684210526315789, 0.47368421052631576, 0.3684210526315789]","[0.1891891891891892, 0.3103448275862069, 0.22580645161290322]","[0.2499999955165817, 0.3749999952170139, 0.27999999528800007]","[0.6842105263157895, 0.6842105263157895, 0.6842105263157895]","[0.41935483870967744, 0.5, 0.48148148148148145]","[0.5199999952880001, 0.5777777728987655, 0.5652173864555766]","[0.439453125, 0.49134865785256415, 0.46272412708398863]","[1.0832677820940877e-231, 1.0832677820940877e-231, 1.0832677820940877e-231]","[0.48314539182682514, 0.5734363272218614, 0.5893587819481345]",0.8540549122503199,0.9681867972492272,0.964498845175975,0.8782117310551149,0.9369657911601057
375,2.0,2.0,2.6666666666666665,-2.1317238807678223,-1.820844054222107,"[0.7917634844779968, 0.7836124897003174, 0.7809568643569946]","[0.7966439127922058, 0.8329553604125977, 0.8078864216804504]","[0.7941962480545044, 0.8075308799743652, 0.7941934466362]","[0.8181818181818182, 0.7272727272727273, 0.7727272727272727]","[0.5806451612903226, 0.6153846153846154, 0.6296296296296297]","[0.6792452781630475, 0.666666661701389, 0.69387754607247]","[0.52, 0.32, 0.44]","[0.35135135135135137, 0.27586206896551724, 0.3548387096774194]","[0.4193548338969824, 0.29629629132373125, 0.3928571379145408]","[0.7727272727272727, 0.5909090909090909, 0.7272727272727273]","[0.5483870967741935, 0.5, 0.5925925925925926]","[0.6415094291064436, 0.541666661701389, 0.6530612195418576]","[0.47348925197100045, 0.5289968652037618, 0.5441023738872404]","[1.016127520387007e-231, 1.016127520387007e-231, 1.016127520387007e-231]","[0.6112046979550652, 0.5835262707304036, 0.5843563434777689]",0.947311785449822,0.9846328039408285,0.984984512396709,0.9621922956052389,0.9772698706475921
376,2.333333333333333,2.6666666666666665,3.0,-1.8401304483413696,-2.0415022373199463,"[0.8038898706436157, 0.7376165390014648, 0.7745252251625061]","[0.8234356641769409, 0.7920840978622437, 0.8138812780380249]","[0.8135454058647156, 0.7638806104660034, 0.7937156558036804]","[0.8695652173913043, 0.6086956521739131, 0.6521739130434783]","[0.6451612903225806, 0.5384615384615384, 0.5555555555555556]","[0.7407407358504802, 0.5714285664473138, 0.5999999950320001]","[0.5357142857142857, 0.25, 0.32142857142857145]","[0.40540540540540543, 0.2413793103448276, 0.2903225806451613]","[0.4615384566343196, 0.24561403008925833, 0.30508474077563924]","[0.8260869565217391, 0.4782608695652174, 0.5652173913043478]","[0.6129032258064516, 0.4230769230769231, 0.48148148148148145]","[0.7037036988134432, 0.44897958685547695, 0.519999995032]","[0.5964040404040405, 0.45361826647870473, 0.5150572645834346]","[1.0518351895246305e-231, 1.0518351895246305e-231, 1.0518351895246305e-231]","[0.5823887179107795, 0.4766403330805409, 0.5104060581525638]",0.93654582908707,0.7683087134720825,0.9601488138924967,0.9354790837378149,0.8879788703674647
378,2.0,2.0,2.5,-3.0426719188690186,-3.146130084991455,[0.8848273754119873],[0.8882632255554199],[0.8865419626235962],[0.9411764705882353],[0.8421052631578947],[0.888888883904321],[0.55],[0.5238095238095238],[0.536585360856633],[0.8823529411764706],[0.7894736842105263],[0.8333333283487654],[0.8454148471615722],[1.0003688322288243e-231],[0.7269056799493792],0.3931980152048335,0.9645947230541477,0.9577516462368957,0.39322054821102476,0.771855639167356
379,2.5,3.0,2.0,-3.537271022796631,-2.705118417739868,[0.9421195983886719],[0.844521164894104],[0.8906546235084534],[1.0],[0.6842105263157895],[0.8124999951757814],[0.8571428571428571],[0.5714285714285714],[0.6857142809142858],[1.0],[0.6842105263157895],[0.8124999951757814],[0.7151240190582959],[1.0832677820940877e-231],[0.6803715306392246],0.0744001430957247,0.958337154881083,0.945152237469996,0.6056430308521291,0.8363774744010694
380,2.0,1.6666666666666667,2.6666666666666665,-3.680419683456421,-3.4000110626220703,[0.8451140522956848],[0.8449721336364746],[0.8450430631637573],[0.9375],[0.7894736842105263],[0.857142852179592],[0.55],[0.5238095238095238],[0.536585360856633],[0.875],[0.7368421052631579],[0.7999999950367347],[0.7714701601164484],[1.1070900996592687e-231],[0.6579125177832732],0.7464012126271978,0.9788715824369826,0.980962463930909,0.8924062920426371,0.9507467794701762
