id,src,sys,refs,ref,informativeness,naturalness,quality
245,"inform(name='jasmine garden',address='708 1fourth street',phone='4158612682')","Jasmine garden 's address is 708 1fourth street , and its phone number is 4158612682 .","['Jasmine garden is at 708 1fourth street and the phone number is 4158612682 .', ""The jasmine garden restaurant 's address is 708 1fourth street and the phone number is 4158612682""]",Jasmine garden is at 708 1fourth street and the phone number is 4158612682 .,5.5,5.5,5.5
246,"inform(name='jasmine garden',kids_allowed=yes,price_range=expensive,food=vietnamese)","Jasmine garden serves vietnamese food allows kids , and is expensive .",['Jasmine garden is an expensive vietnamese restaurant that allows kid -s .'],Jasmine garden is an expensive vietnamese restaurant that allows kid -s .,5.0,5.5,4.5
247,"inform(name='jasmine garden',near='duboce triangle')","Jasmine garden , is near the duboce triangle .",['Jasmine garden is near duboce triangle .'],Jasmine garden is near duboce triangle .,5.5,5.5,5.5
248,"inform(name='jasmine garden',price_range=expensive,good_for_meal=lunch)","Jasmine garden , is a good lunch meal and is expensive .","['Jasmine garden is an expensive restaurant that is good for lunch', 'Jasmine garden is an expensive restaurant that serves lunch .']",Jasmine garden is an expensive restaurant that is good for lunch,4.0,3.0,2.0
249,"inform(name='jasmine garden',price_range=expensive,kids_allowed=yes)","Jasmine garden , is expensively priced and allows kids .","['Jasmine garden is expensive and allows child -s .', 'Jasmine garden is expensive and allows child -s']",Jasmine garden is expensive and allows child -s .,6.0,5.0,3.0
250,"inform(name='kappa japanese restaurant',area='lower pacific heights',kids_allowed=no)","Kappa japanese restaurant , is in the area of lower pacific heights and it does not allow children .",['Kappa japanese restaurant is the lower pacific heights area does not allow kid -s'],Kappa japanese restaurant is the lower pacific heights area does not allow kid -s,6.0,5.0,5.0
251,"inform(name='kappa japanese restaurant',good_for_meal=dinner,area='lower pacific heights',price_range=moderate)","Kappa japanese restaurant , is good dinner choice for your moderate range in lower pacific heights .",['I have found the kappa japanese restaurant that is good for dinner and is located in the lower pacific heights as well as being priced moderate -ly .'],I have found the kappa japanese restaurant that is good for dinner and is located in the lower pacific heights as well as being priced moderate -ly .,4.0,4.5,4.0
252,"inform(name='kappa japanese restaurant',near='lower pacific heights or japantown',address='1700 post street suite k',phone='4156736004')","Kappa japanese restaurant , is near the lower pacific heights or japantown , it is address is 1700 post street suite k , and the phone number is 4156736004 .",['The address to the kappa japanese restaurant near the lower pacific heights or japantown is 1700 post street suite k and the phone number is 4156736004 .'],The address to the kappa japanese restaurant near the lower pacific heights or japantown is 1700 post street suite k and the phone number is 4156736004 .,6.0,4.0,6.0
253,"inform(name='kiss seafood',address='1700 laguna street')",Kiss seafood 's address is 1700 laguna street .,"['The address for kiss seafood is 1700 laguna street', ""Kiss seafood 's address is 1700 laguna street ."", 'Kiss seafood address is 1700 laguna street']",The address for kiss seafood is 1700 laguna street,6.0,6.0,6.0
254,"inform(name='kiss seafood',area='little osaka')","Kiss seafood , is in the are of little osaka .",['Kiss seafood is a nice restaurant in the little osaka area'],Kiss seafood is a nice restaurant in the little osaka area,3.5,4.5,2.5
255,"inform(name='kiss seafood',area='little osaka',kids_allowed=no,good_for_meal=dinner)","Kiss seafood , is a nice restaurant in the little osaka area that allows children , and is good for dinner .",['Kiss seafood is located in little osaka that is good for dinner . Childe-s are not admitted .'],Kiss seafood is located in little osaka that is good for dinner . Childe-s are not admitted .,4.5,4.5,3.0
256,"inform(name='kiss seafood',near='lower pacific heights or japantown',address='1700 laguna street',phone='4154742866')","Kiss seafood , is near the lower pacific heights or japantown , it is address is 1700 laguna street , and the phone number is 4154742866 .",['Kiss seafood is near the lower pacific heights and japantown area -s. the address is 1700 laguna street . The phone number is 4154742866'],Kiss seafood is near the lower pacific heights and japantown area -s. the address is 1700 laguna street . The phone number is 4154742866,4.0,5.0,3.0
257,"inform(name='kiss seafood',phone='4154742866')",The phone number for kiss seafood is 4154742866 .,"['Kiss seafood number is 4154742866 .', ""Kiss seafood 's phone number is 4154742866""]",Kiss seafood number is 4154742866 .,6.0,6.0,6.0
258,"inform(name='kiss seafood',price_range=expensive)","Kiss seafood , is expensive .",['Kiss seafood is expensive .'],Kiss seafood is expensive .,5.5,6.0,5.0
259,"inform(name='kiss seafood',price_range=expensive,near='lower pacific heights')",Kiss seafood near lower pacific heights offers expensive food .,['Kiss seafood is an expensive restaurant close to lower pacific heights'],Kiss seafood is an expensive restaurant close to lower pacific heights,5.5,5.0,6.0
260,"inform(name='la briciola',area='hayes valley or financial district south',address='489 third street')","La briciola , is in the hayes valley or financial district south area and it is address is 489 third street .","['La briciola is in hayes valley or financial district south , its address is 489 third street .', 'La briciola is located in the hayes valley or financial district south and the address is 489 third street .', 'La briciola is in the hayes valley or financial district south area and the address is 489 third street .']","La briciola is in hayes valley or financial district south , its address is 489 third street .",5.5,5.5,5.5
261,"inform(name='la briciola',kids_allowed=no,near='mission bay',good_for_meal=dinner)","La briciola , is near mission bay , does not allow kids for dinner .","['La briciola is near mission bay , allows child -s and is a good for dinner .', 'La briciola serves good dinner near mission bay and does not allow child -s .', 'La briciola is a nice restaurant that does not allow child -s and is near mission bay and is good for dinner .']","La briciola is near mission bay , allows child -s and is a good for dinner .",5.0,3.0,6.0
262,"inform(name='la ciccia',address='291 30th street',price='between 15 and 22 euro')",It is located at 291 30th street it is price la ciccia is between 15 and 22 euro .,"['Address of restaurant la ciccia , 291 30th street . Price range between 15 and 22 euro']","Address of restaurant la ciccia , 291 30th street . Price range between 15 and 22 euro",5.0,1.0,1.0
263,"inform(name='la ciccia',area='bernal heights',price_range=moderate)","La ciccia , is in the bernal heights area with a moderate price range .",['La ciccia is a moderate price restaurant in bernal heights'],La ciccia is a moderate price restaurant in bernal heights,5.5,5.5,5.5
264,"inform(name='la mediterranee',address='2210 fillmore street',phone='4159212956')","La mediterranee 's address is 2210 fillmore street , and its phone number is 4159212956 .","[""La mediterranee 's address is 2210 fillmore street and phone is 4159212956"", ""La mediterranee 's address is 2210 fillmore street , and their phone number is 4159212956""]",La mediterranee 's address is 2210 fillmore street and phone is 4159212956,6.0,6.0,6.0
265,"inform(name='la mediterranee',food='middle eastern',kids_allowed=no,price_range=cheap)","The restaurant I recommend is la mediterranee , it serves middle eastern cheaply priced and does not allow children .","['I have just the restaurant for you . It is called la mediterranee , it serves cheap middle eastern food and child -s are not allowed .']","I have just the restaurant for you . It is called la mediterranee , it serves cheap middle eastern food and child -s are not allowed .",6.0,4.5,5.5
266,"inform(name='la mediterranee',good_for_meal=lunch,kids_allowed=no,price_range=cheap)","La mediterranee , is good for lunch , it is cheaply priced and does not allow children .","['La mediterranee is cheap , does not allow child -s , and is good for lunch', 'La mediterranee is a nice restaurant that is good for lunch , does not allow child -s and is cheap -ly priced .']","La mediterranee is cheap , does not allow child -s , and is good for lunch",5.0,4.0,4.0
267,"inform(name='la mediterranee',good_for_meal='lunch or dinner')","La mediterranee , is good for lunch or dinner .",['La mediterranee is well known for its lunch and dinner .'],La mediterranee is well known for its lunch and dinner .,6.0,6.0,6.0
268,"inform(name='la mediterranee',near='pacific heights',good_for_meal=lunch)","La mediterranee , is a nice restaurant near pacific heights , and is good for lunch .",['La mediterranee near pacific heights good for lunch'],La mediterranee near pacific heights good for lunch,6.0,5.5,6.0
269,"inform(name='la mediterranee',phone='4159212956')",The phone number for la mediterranee is 4159212956 .,"['The best way to communicate with la mediterranee is by telephone , and their phone number is 4159212956', 'The phone number for la mediterranee is 4159212956 .', 'The phone number for la mediterranee is 4159212956', 'La mediterranee phone 4159212956']","The best way to communicate with la mediterranee is by telephone , and their phone number is 4159212956",6.0,6.0,6.0
270,"inform(name='la mediterranee',price='15 euro')",The price is 15 euro at la mediterranee .,"['La mediterranee is priced around 15 euro', 'La mediterranee is priced at 15 euro .']",La mediterranee is priced around 15 euro,6.0,5.0,5.0
271,"inform(name='la traviata',address='2854 mission street',phone='4152820500')","La traviata 's address is 2854 mission street , and its phone number is 4152820500 .","['The address of la traviata is 2854 mission street , and their phone number is 4152820500', 'La traviata is on 2854 mission street , number is 4152820500']","The address of la traviata is 2854 mission street , and their phone number is 4152820500",6.0,5.5,5.0
272,"inform(name='la traviata',kids_allowed=yes,good_for_meal=dinner,area='mission district')","La traviata , is a nice restaurant in the mission district areas , allows kids to dine at dinner .","['La traviata allows child -s and is also in the mission district , serving dinner .', 'La traviata allows kid -s and is good for dinner on mission district .']","La traviata allows child -s and is also in the mission district , serving dinner .",5.0,3.0,5.0
273,"inform(name='la traviata',price_range=moderate)","La traviata , is moderate .","[""La traviata 's price range is moderate ."", 'La traviata is in the moderate price range .', 'La traviata is moderate -ly priced', 'La traviata is moderate -ly priced .', 'The la traviata restaurant has moderate price -s , too .']",La traviata 's price range is moderate .,3.5,3.0,3.0
274,"inform(name=lavash,food=persian)",There is a persian restaurant called lavash .,['Lavash is a recommended restaurant that serves persian food .'],Lavash is a recommended restaurant that serves persian food .,4.5,5.5,5.0
275,"inform(name=lavash,price_range=moderate)","Lavash , is moderate .",['Lavash is moderate -ly priced'],Lavash is moderate -ly priced,2.5,4.5,3.5
276,"inform(name='lime tree southeast asian kitchen',good_for_meal=lunch,food=malaysian)","Lime tree southeast asian kitchen , is a good restaurant that serves malaysian food , especially for lunch .",['Lime tree southeast asian kitchen is a malaysian restaurant that is good for lunch'],Lime tree southeast asian kitchen is a malaysian restaurant that is good for lunch,6.0,6.0,5.5
277,"inform(name='lime tree southeast asian kitchen',near='inner sunset')","Lime tree southeast asian kitchen , is near the inner sunset .",['Lime tree southeast asian kitchen is near inner sunset'],Lime tree southeast asian kitchen is near inner sunset,3.5,5.0,4.0
278,"inform(name='lime tree southeast asian kitchen',phone='4156651415')",The phone number for lime tree southeast asian kitchen is 4156651415 .,"['The phone number for the lime tree southeast asian kitchen is 4156651415 .', ""Lime tree southeast asian kitchen 's phone number is 4156651415"", 'The phone number for lime tree southeast asian kitchen is 4156651415', 'The phone number to lime tree southeast asian kitchen is 4156651415', 'The phone number of lime tree southeast asian kitchen is 4156651415']",The phone number for the lime tree southeast asian kitchen is 4156651415 .,6.0,6.0,6.0
279,"inform(name='little delhi',address='83 eddy street')",Little delhi 's address is 83 eddy street .,"['Little delhi is located at 83 eddy street .', ""Little delhi 's address is 83 eddy street .""]",Little delhi is located at 83 eddy street .,5.5,4.5,5.5
280,"inform(name='little delhi',food=indian,good_for_meal=dinner)","Little delhi , is a good restaurant that serves indian food , especially for dinner .","['Little delhi serves indian food and is good for dinner .', 'Little delhi is a nice restaurant that serves indian food and is good for dinner .']",Little delhi serves indian food and is good for dinner .,6.0,6.0,5.0
281,"inform(name='little delhi',price_range=cheap)","Little delhi , is cheap .",['Little delhi is in the cheap price range .'],Little delhi is in the cheap price range .,5.0,5.0,4.0
282,"inform(name='little delhi',type=restaurant)",The name of the restaurant is little delhi .,['Little delhi is a good restaurant .'],Little delhi is a good restaurant .,4.5,6.0,5.0
283,"inform(name='little nepal',address='925 cortland avenue')",Little nepal 's address is 925 cortland ave .,"[""Little nepal 's address is 925 cortland avenue ."", 'The address of little nepal is 925 cortland avenue', 'Little nepal is located at 925 cortland avenue .']",Little nepal 's address is 925 cortland avenue .,6.0,5.5,6.0
284,"inform(name='little nepal',area='hayes valley or bernal heights north')","Little nepal , is in the are of hayes valley or bernal heights north .","['Little nepal is in hayes valley and bernal heights north', 'Little nepal is located in the hayes valley or bernal heights north area .']",Little nepal is in hayes valley and bernal heights north,4.5,3.0,2.0
285,"inform(name='little nepal',area='hayes valley or bernal heights north',address='925 cortland avenue')","Little nepal , is located in hayes valley or bernal heights north its address is 925 cortland ave .","['Little nepal is located in hayes valley or bernal heights north . Its address is 925 cortland avenue', 'Little nepal is located at 925 cortland avenue in hayes valley or bernal heights north area']",Little nepal is located in hayes valley or bernal heights north . Its address is 925 cortland avenue,6.0,5.0,6.0
286,"inform(name='little nepal',price_range=moderate,food=himalayan)",Little nepal serves himalayan food at a moderate price range .,"['Little nepal is a moderate -ly priced restaurant that serves himalayan food', 'Little nepal is of moderate price and serves himalayan food', 'Little nepal serves himalayan food in the moderate price range .']",Little nepal is a moderate -ly priced restaurant that serves himalayan food,6.0,6.0,6.0
287,"inform(name='little nepal',price_range=moderate,food=himalayan,kids_allowed=yes)","Little nepal serves himalayan food allows kids , and is moderate .",['Little nepal is a moderate -ly priced himalayan food restaurant that allows kid -s .'],Little nepal is a moderate -ly priced himalayan food restaurant that allows kid -s .,3.5,4.5,3.5
288,"inform(name='lucky creation restaurant',area='hayes valley or chinatown',phone='4159890818')","Lucky creation restaurant , is in the hayes valley or chinatown call 4159890818 .","['Lucky creation restaurant is in hayes valley or chinatown , their number is 4159890818', 'Lucky creation restaurant is in hayes valley or chinatown . They are phone number is 4159890818']","Lucky creation restaurant is in hayes valley or chinatown , their number is 4159890818",6.0,5.0,5.5
289,"inform(name='lucky creation restaurant',price_range=cheap)","Lucky creation restaurant , is cheap .","['Lucky creation restaurant has a cheap price .', 'Lucky creation restaurant is an cheap restaurant .']",Lucky creation restaurant has a cheap price .,4.5,4.5,3.0
290,"inform(name='lucky creation restaurant',price_range=cheap,food=vegetarian)",Lucky creation restaurant serves vegetarian food at a cheap price range .,"['Lucky creation restaurant is a good vegetarian restaurant in cheap price range .', 'Lucky creation restaurant has vegetarian food for cheap price -s', 'There is another vegetarian restaurant nearby called lucky creation restaurant and it is fairly cheap .', 'Lucky creation restaurant is a cheap vegetarian restaurant .', 'Lucky creation restaurant is also another cheap vegetarian restaurant .', 'Lucky creation restaurant has cheap vegetarian food .', 'Lucky creation restaurant is a cheap restaurant that serves vegetarian food', 'The lucky creation restaurant is cheap and vegetarian']",Lucky creation restaurant is a good vegetarian restaurant in cheap price range .,6.0,6.0,5.0
291,"inform(name='lucky creation restaurant',type=restaurant)",The name of the restaurant is lucky creation restaurant .,"['The name is lucky creation restaurant .', 'Lucky creation restaurant is a nice restaurant .', 'The lucky creation restaurant is a nice restaurant', 'The restaurant is called lucky creation restaurant .']",The name is lucky creation restaurant .,5.5,4.5,5.5
292,"inform(name=luella,food=spanish)",There is a spanish restaurant called luella .,['There is a spanish restaurant named luella .'],There is a spanish restaurant named luella .,4.5,5.0,5.5
293,"inform(name=luella,type=restaurant)",The name of the restaurant is luella .,"['Yes , the luella is a nice restaurant .']","Yes , the luella is a nice restaurant .",6.0,6.0,6.0
294,"inform(name='mangia tutti ristorante',address='635 clay street')",Mangia tutti ristorante 's address is 635 clay street .,"['The address for the mangia tutti ristorante is 635 clay street', ""Mangia tutti ristorante 's address is 635 clay street .""]",The address for the mangia tutti ristorante is 635 clay street,5.5,5.0,5.5
295,"inform(name='mangia tutti ristorante',area='financial district',kids_allowed=yes)","Mangia tutti ristorante , is in financial district that allows children .",['Mangia tutti ristorante is in financial district and allows kid -s .'],Mangia tutti ristorante is in financial district and allows kid -s .,4.5,3.5,3.0
296,"inform(name='mangia tutti ristorante',area='financial district or hayes valley')","Mangia tutti ristorante , is in the are of financial district or hayes valley .",['Mangia tutti ristorante is in financial district or hayes valley'],Mangia tutti ristorante is in financial district or hayes valley,3.0,3.0,2.0
297,"inform(name='mangia tutti ristorante',near='financial district',kids_allowed=yes,good_for_meal=dinner)","Mangia tutti ristorante , is a nice restaurant near the financial district that allows kids , and is good for dinner .",['There is a nice restaurant called mangia tutti ristorante near the financial district that allows kid -s and is good for dinner'],There is a nice restaurant called mangia tutti ristorante near the financial district that allows kid -s and is good for dinner,6.0,6.0,6.0
298,"inform(name='mangia tutti ristorante',price_range=moderate)","Mangia tutti ristorante , is moderate .",['The mangia tutti ristorante is moderate -ly priced'],The mangia tutti ristorante is moderate -ly priced,1.5,3.0,2.0
299,"inform(name='mangia tutti ristorante',type=restaurant)",The name of the restaurant is mangia tutti ristorante .,['Mangia tutti ristorante is a nice restaurant .'],Mangia tutti ristorante is a nice restaurant .,6.0,5.0,5.0
300,"inform(name='manna',area='hayes valley or inset',address='845 irving street')","Manna , is in the hayes valley or inset area and it is address is 845 irving street .","['The address for manna is 845 irving street , in the area of hayes valley or inset .', 'Manna is in hayes valley or inset . It is located at 845 irving street']","The address for manna is 845 irving street , in the area of hayes valley or inset .",6.0,5.0,5.0
301,"inform(name=manna,price_range=cheap,kids_allowed=yes)","Manna , is cheaply priced and allows kids .","['Manna is a cheap restaurant where kid -s are allowed', 'Manna is a great cheap restaurant and they allow kid -s .']",Manna is a cheap restaurant where kid -s are allowed,5.5,5.5,5.0
302,"inform(name=manna,type=restaurant)",The name of the restaurant is manna .,"['Manna is a nice restaurant .', 'Manna is a nice restaurant']",Manna is a nice restaurant .,4.5,5.0,5.0
303,"inform(name='marlowe',area='hayes valley or mission bay',address='330 townsend street suite 101')","Marlowe , is in the hayes valley or mission bay area and it is address is 330 townsend street suite 101 .","['Marlowe is in the hayes valley or mission bay area at 330 townsend street suite 101 .', 'The address of marlowe is 330 townsend street suite 101 , hayes valley and mission bay', 'Marlowe near hayes valley or mission bay is at 330 townsend street suite 101']",Marlowe is in the hayes valley or mission bay area at 330 townsend street suite 101 .,6.0,2.5,3.0
304,"inform(name='marlowe',area='hayes valley or mission bay',phone='4159745599')","Marlowe , is in the hayes valley or mission bay call 4159745599 .",['The marlowe is in the hayes valley or mission bay area . The phone number is 4159745599 .'],The marlowe is in the hayes valley or mission bay area . The phone number is 4159745599 .,5.5,4.0,4.0
305,"inform(name=marlowe,food=brasseries)",There is a brasseries restaurant called marlowe .,"['I can recommend the marlowe which is a brasseries .', 'Marlowe serves brasseries food', 'Marlowe restaurant serves brasseries food', 'Marlowe serves brasseries .']",I can recommend the marlowe which is a brasseries .,5.0,5.0,5.0
306,"inform(name=marlowe,good_for_meal=dinner,area='mission bay')","Marlowe , is good for dinner , and is in the mission bay area .",['Marlowe serves dinner in the mission bay area .'],Marlowe serves dinner in the mission bay area .,5.0,5.0,5.0
307,"inform(name=marlowe,good_for_meal=dinner,food=brasseries)","Marlowe , is a good restaurant that serves brasseries food , especially for dinner .","['Marlowe is a good restaurant for dinner that serves brasseries', 'Marlowe is good for dinner and serves brasseries food']",Marlowe is a good restaurant for dinner that serves brasseries,6.0,6.0,6.0
308,"inform(name=marlowe,near='mission bay')","Marlowe , is near the mission bay .","['The marlowe is found near mission bay .', 'There is a nice restaurant called marlowe which is near mission bay .', 'Marlowe is near mission bay', 'Marlowe is near mission bay .']",The marlowe is found near mission bay .,6.0,6.0,6.0
309,"inform(name='marnee thai',address='2225 irving street')",Marnee thai 's address is 2225 irving street .,"['Marnee thai is located at 2225 irving street', 'The address for marnee thai is 2225 irving street']",Marnee thai is located at 2225 irving street,5.5,5.5,5.0
310,"inform(name='marnee thai',address='2225 irving street',phone='4157319999',postcode='94122')","Marnee thai , is at 2225 irving street , phone number is 4157319999 , and the postcode is 94122 .",['The address to marnee thai is 2225 irving street and the phone number is 4157319999. postcode is 94122 .'],The address to marnee thai is 2225 irving street and the phone number is 4157319999. postcode is 94122 .,6.0,5.5,5.0
311,"inform(name='marnee thai',food=thai,kids_allowed=yes,area='golden gate park')","I would recommend marnee thai it is in the golden gate park , serves thai food , and allows kids .",['Marnee thai is a thai restaurant in golden gate park that allows kid -s .'],Marnee thai is a thai restaurant in golden gate park that allows kid -s .,6.0,6.0,6.0
312,"inform(name='marnee thai',food=thai,near='inner sunset')",Marnee thai near inner sunset serves thai .,['Marnee thai is near inner sunset and serves thai food .'],Marnee thai is near inner sunset and serves thai food .,4.5,4.5,5.0
313,"inform(name='marnee thai',kids_allowed=yes)",Marnee thai allows children .,"['Marnee thai allows kid -s , yes .', 'Marnee thai allows kid -s']","Marnee thai allows kid -s , yes .",5.0,6.0,6.0
314,"inform(name='marnee thai',near='outer sunset',price_range=moderate,good_for_meal=dinner)","Marnee thai , is near outer sunset , the is good for dinner , and it is in the moderate price range .","['Marnee thai is near outer sunset with a price range of moderate and good for dinner', 'Marnee thai is near outer sunset , with a moderate price for dinner .']",Marnee thai is near outer sunset with a price range of moderate and good for dinner,5.5,4.0,3.0
315,"inform(name='marnee thai',phone='4157319999')",The phone number for marnee thai is 4157319999 .,"[""Marnee thai 's phone is 4157319999"", 'Marnee thai phone number is 4157319999 .', 'Marnee thai phone is 4157319999 .', 'Marnee thai can be reached at 4157319999 .']",Marnee thai 's phone is 4157319999,6.0,6.0,5.5
316,"inform(name='marnee thai',price_range=moderate,near='outer sunset',good_for_meal=dinner)","Marnee thai , is near outer sunset , the is good for dinner , and it is in the moderate price range .",['Marnee thai is a moderate -ly priced restaurant near outer sunset that is a good restaurant for dinner .'],Marnee thai is a moderate -ly priced restaurant near outer sunset that is a good restaurant for dinner .,5.0,4.0,4.5
317,"inform(name=maverick,area='hayes valley',food='new american')","Maverick , is in hayes valley serves new american food .",['There is a nice restaurant called maverick in the hayes valley area that serves new american .'],There is a nice restaurant called maverick in the hayes valley area that serves new american .,4.0,2.0,2.5
318,"inform(name=maverick,type=restaurant)",The name of the restaurant is maverick .,['It is called maverick and it is a nice restaurant .'],It is called maverick and it is a nice restaurant .,6.0,6.0,6.0
319,"inform(name='michael mina restaurant',address='335 powell street')",Michael mina restaurant 's address is 335 powell street .,"['Michael mina restaurant is on 335 powell street .', 'The michael mina restaurant is located at 335 powell street', 'The address for michael mina restaurant is 335 powell street']",Michael mina restaurant is on 335 powell street .,6.0,6.0,5.5
320,"inform(name='michael mina restaurant',food=burgers,price_range=expensive,good_for_meal=dinner)",The michael mina restaurant provides burgers dinner for a expensive price range .,"['The michael mina restaurant is an expensive restaurant that servers burgers for dinner .', 'Michael mina restaurant serves expensive burgers for dinner .']",The michael mina restaurant is an expensive restaurant that servers burgers for dinner .,6.0,4.0,4.0
321,"inform(name='michael mina restaurant',near='union square')","Michael mina restaurant , is near the union square .","['Michael mina restaurant is near union square .', 'The michael mina restaurant is near to union square .', 'Michael mina restaurant is near union square']",Michael mina restaurant is near union square .,6.0,6.0,4.0
322,"inform(name='minami restaurant',address='1900 clement street',phone='4153875913')","Minami restaurant 's address is 1900 clement street , and its phone number is 4153875913 .",['Minami restaurant is located on 1900 clement street and their phone number is 4153875913'],Minami restaurant is located on 1900 clement street and their phone number is 4153875913,6.0,6.0,5.0
323,"inform(name='minami restaurant',area='little russia',price_range=cheap,good_for_meal=dinner)","Minami restaurant , is good dinner choice for your cheap range in little russia .","['Minami restaurant is located in little russia , has a cheap price range and is good for dinner .']","Minami restaurant is located in little russia , has a cheap price range and is good for dinner .",4.5,4.0,4.0
324,"inform(name='mission chinese food',kids_allowed=no,food=chinese,price_range=expensive)","The restaurant I recommend is mission chinese food , it serves chinese expensively priced and does not allow children .","['Mission chinese food does not allow child -s and serves chinese food in the expensive price range .', 'The restaurant mission chinese food serves chinese , is expensive -ly priced and does not allow child -s .']",Mission chinese food does not allow child -s and serves chinese food in the expensive price range .,3.0,3.0,3.0
325,"inform(name='mochica',area='hayes valley or financial district south',phone='4152780480')","Mochica , is in the hayes valley or financial district south call 4152780480 .","['Mochica is located in hayes valley or financial district south , the phone number is 4152780480 .', 'The mochica is located in the hayes valley or financial district south area . Their phone number is 4152780480']","Mochica is located in hayes valley or financial district south , the phone number is 4152780480 .",5.0,3.5,3.0
326,"inform(name=mochica,food=peruvian,good_for_meal=dinner)","Mochica , is a good restaurant that serves peruvian food , especially for dinner .","['Mochica is a good restaurant that serves peruvian food , especially for dinner', 'Mochica restaurant serves peruvian food for dinner .', 'The mochica serves peruvian food for dinner']","Mochica is a good restaurant that serves peruvian food , especially for dinner",6.0,4.5,4.0
327,"inform(name=mochica,kids_allowed=no)",There are no children allowed at mochica .,"['The mochica does not allow child -s', 'No , mochica does not allow child -s .']",The mochica does not allow child -s,6.0,5.0,5.0
328,"inform(name=mozzeria,kids_allowed=yes,food=pizza)","Mozzeria allows kids , and serves pizza food .",['The mozzeria pizza place definitely allows kid -s .'],The mozzeria pizza place definitely allows kid -s .,5.0,4.0,2.0
329,"inform(name=mozzeria,price_range=moderate,address='3228 16th street',phone='4154890963')","Mozzeria 3228 16th street , the phone number is 4154890963 , and the price range is moderate .",['Mozzeria is in the moderate range and is located at 3228 16th street . The phone number is 4154890963 .'],Mozzeria is in the moderate range and is located at 3228 16th street . The phone number is 4154890963 .,6.0,4.0,5.0
330,"inform(name='muguboka restaurant',address='401 balboa street',phone='4156686007',postcode='94118')","Muguboka restaurant , is at 401 balboa street , phone number is 4156686007 , and the postcode is 94118 .",['The address of muguboka restaurant is 401 balboa street 94118 and the phone number is 4156686007'],The address of muguboka restaurant is 401 balboa street 94118 and the phone number is 4156686007,6.0,5.5,5.5
331,"inform(name='muguboka restaurant',area='hayes valley',food=korean)","Muguboka restaurant , is in hayes valley serves korean food .",['I have found muguboka restaurant in hayes valley that serves korean food'],I have found muguboka restaurant in hayes valley that serves korean food,5.0,5.0,5.0
332,"inform(name='nicaragua restaurant',price_range=cheap)","Nicaragua restaurant , is cheap .","['Nicaragua restaurant is a cheap restaurant .', 'I would recommend nicaragua restaurant as a cheap restaurant']",Nicaragua restaurant is a cheap restaurant .,4.5,4.5,3.0
333,"inform(name=nopa,food='modern european')",There is a modern european restaurant called nopa .,['Nopa serves modern european .'],Nopa serves modern european .,5.0,6.0,6.0
334,"inform(name='old jerusalem restaurant',food='middle eastern',good_for_meal=dinner,kids_allowed=yes)","Old jerusalem restaurant allows children , it serves middle eastern food , and it is good for dinner .","['Old jerusalem restaurant serves middle eastern food for dinner and allows kid -s .', 'Old jerusalem restaurant offers middle eastern food for dinner and allows child -s .', 'Old jerusalem restaurant has good middle eastern dinner and allows kid -s .']",Old jerusalem restaurant serves middle eastern food for dinner and allows kid -s .,6.0,5.0,4.0
335,"inform(name='old skool cafe',food='soul food',good_for_meal=dinner)","Old skool cafe , is a good restaurant that serves soul food food , especially for dinner .","['The old skool cafe serves soul food for dinner .', 'The old skool cafe offers soul food for dinner -s .']",The old skool cafe serves soul food for dinner .,5.5,4.0,3.0
336,"inform(name='old skool cafe',kids_allowed=yes)",Old skool cafe allows children .,"['The old skool cafe allows child -s', 'Yes , the old skool cafe does allow child -s .']",The old skool cafe allows child -s,5.0,5.0,5.5
337,"inform(name=orexi,price_range=moderate,kids_allowed=yes,food='new american')","Orexi serves new american food allows kids , and is moderate .","['Orexi is a new american restaurant in the moderate price range that allows kid -s .', 'Orexi serves new american food in the moderate price range and does allow kid -s. and its name is .']",Orexi is a new american restaurant in the moderate price range that allows kid -s .,5.0,4.0,3.0
338,"inform(name='original us restaurant',address='515 columbus avenue',phone='4153975200')",The address of original us restaurant is 515 columbus ave and the phone number is 4153975200 .,"['The address for original us restaurant is 515 columbus avenue , and the phone number is 4153975200 .', 'Original us restaurant is at 515 columbus avenue and the phone number is 4153975200 .', 'The address of original us restaurant is 515 columbus avenue and the phone number is 4153975200 .']","The address for original us restaurant is 515 columbus avenue , and the phone number is 4153975200 .",6.0,5.0,6.0
339,"inform(name='original us restaurant',near='russian hill',kids_allowed=yes,price_range=moderate,food='new american')","Original us restaurant , is in nearby russian hill , it is new american food in the moderate price range and allows kids .","['Original us restaurant is in nearby russian hill , it is new american food in the moderate price range and allows kid -s .', 'Original us restaurant is near russian hill and serves new american food in the moderate price range and allows kid -s .']","Original us restaurant is in nearby russian hill , it is new american food in the moderate price range and allows kid -s .",6.0,5.0,5.0
340,"inform(name='original us restaurant',postcode='94133')",The postcode of original us restaurant is 94133 .,"['The postcode for original us restaurant is 94133 .', 'Original us restaurant postcode is 94133']",The postcode for original us restaurant is 94133 .,5.0,6.0,5.0
341,"inform(name='osha thai',phone='4152789991')",The phone number for osha thai is 4152789991 .,"['The phone number for osha thai is 4152789991', 'You can call osha thai at 4152789991 .']",The phone number for osha thai is 4152789991,6.0,6.0,6.0
